band_width,n_estimators,max_depth,min_samples_split,accuracy_train,accuracy_test
10,90,20.0,5,1.0,0.6166666666666667
10,30,30.0,10,0.9748953974895398,0.6166666666666667
10,80,10.0,2,1.0,0.6166666666666667
10,80,,5,1.0,0.6166666666666667
10,60,10.0,2,1.0,0.6166666666666667
10,30,40.0,10,0.9748953974895398,0.6166666666666667
10,80,20.0,5,1.0,0.6166666666666667
10,30,,10,0.9748953974895398,0.6166666666666667
10,30,20.0,10,0.9748953974895398,0.6166666666666667
10,80,30.0,5,1.0,0.6166666666666667
10,80,40.0,5,1.0,0.6166666666666667
10,90,10.0,5,0.99581589958159,0.6166666666666667
10,100,30.0,10,0.9832635983263598,0.6083333333333333
10,90,,10,0.9853556485355649,0.6083333333333333
10,100,20.0,10,0.9832635983263598,0.6083333333333333
10,90,10.0,10,0.9874476987447699,0.6083333333333333
10,100,10.0,10,0.9853556485355649,0.6083333333333333
10,100,,10,0.9832635983263598,0.6083333333333333
10,90,40.0,10,0.9853556485355649,0.6083333333333333
10,90,30.0,10,0.9853556485355649,0.6083333333333333
10,90,20.0,10,0.9853556485355649,0.6083333333333333
10,90,10.0,2,1.0,0.6083333333333333
10,10,,2,0.9874476987447699,0.6083333333333333
10,100,40.0,10,0.9832635983263598,0.6083333333333333
10,10,40.0,2,0.9874476987447699,0.6083333333333333
10,40,40.0,10,0.9769874476987448,0.6083333333333333
10,40,30.0,10,0.9769874476987448,0.6083333333333333
10,40,20.0,10,0.9769874476987448,0.6083333333333333
10,20,10.0,2,0.99581589958159,0.6083333333333333
10,40,,10,0.9769874476987448,0.6083333333333333
10,10,30.0,2,0.9874476987447699,0.6083333333333333
10,10,20.0,2,0.9874476987447699,0.6083333333333333
10,100,,5,1.0,0.6
10,70,20.0,5,1.0,0.6
10,40,10.0,2,1.0,0.6
10,40,10.0,5,0.9937238493723849,0.6
10,40,10.0,10,0.9769874476987448,0.6
10,100,20.0,5,1.0,0.6
10,100,30.0,5,1.0,0.6
10,70,40.0,5,1.0,0.6
10,100,40.0,5,1.0,0.6
10,70,30.0,5,1.0,0.6
10,50,,5,1.0,0.6
10,50,40.0,5,1.0,0.6
10,60,20.0,5,1.0,0.6
10,60,,5,1.0,0.6
