band_width,n_estimators,max_depth,min_samples_split,accuracy_train,accuracy_test
100,70,20.0,5,0.997907949790795,0.9333333333333333
100,70,20.0,2,1.0,0.9333333333333333
100,70,10.0,10,0.9832635983263598,0.9333333333333333
100,70,10.0,5,0.997907949790795,0.9333333333333333
100,50,,2,1.0,0.9333333333333333
100,60,,2,1.0,0.9333333333333333
100,20,20.0,10,0.9853556485355649,0.9333333333333333
100,20,30.0,10,0.9853556485355649,0.9333333333333333
100,20,10.0,2,0.99581589958159,0.9333333333333333
100,40,20.0,2,1.0,0.9333333333333333
100,40,,2,1.0,0.9333333333333333
100,20,10.0,10,0.9853556485355649,0.9333333333333333
100,20,,10,0.9853556485355649,0.9333333333333333
100,40,10.0,5,0.997907949790795,0.9333333333333333
100,20,40.0,10,0.9853556485355649,0.9333333333333333
100,40,30.0,2,1.0,0.9333333333333333
100,20,30.0,5,0.997907949790795,0.925
100,20,40.0,5,0.997907949790795,0.925
100,20,20.0,5,0.997907949790795,0.925
100,20,10.0,5,0.997907949790795,0.925
100,30,,2,1.0,0.925
100,30,,5,0.99581589958159,0.925
100,80,10.0,2,1.0,0.925
100,80,10.0,5,0.997907949790795,0.925
100,40,30.0,10,0.9895397489539749,0.925
100,90,,2,1.0,0.925
100,20,,5,0.997907949790795,0.925
100,90,40.0,2,1.0,0.925
100,100,40.0,2,1.0,0.925
100,100,30.0,2,1.0,0.925
100,100,20.0,2,1.0,0.925
100,100,10.0,2,1.0,0.925
100,100,,2,1.0,0.925
100,90,40.0,5,0.997907949790795,0.925
100,90,30.0,5,0.997907949790795,0.925
100,30,,10,0.9853556485355649,0.925
100,90,30.0,2,1.0,0.925
100,90,20.0,5,0.997907949790795,0.925
100,90,20.0,2,1.0,0.925
100,90,10.0,5,0.997907949790795,0.925
100,90,10.0,2,1.0,0.925
100,90,,5,0.997907949790795,0.925
100,70,10.0,2,1.0,0.925
100,40,30.0,5,0.997907949790795,0.925
100,30,10.0,5,0.99581589958159,0.925
100,60,10.0,2,1.0,0.925
100,40,40.0,5,0.997907949790795,0.925
100,40,40.0,10,0.9895397489539749,0.925
100,40,20.0,10,0.9895397489539749,0.925
100,50,,10,0.9874476987447699,0.925
